project_id,sprint_id,sprint_duration_days,team_size,avg_experience_years,planned_story_points,completed_story_points,velocity_change_pct,backlog_growth_rate,dependency_blockers,scope_change_requests,bug_count,reopened_issues,code_churn_pct,test_coverage_pct,deployment_failures,avg_work_hours,meeting_hours,attrition_risk_score,communication_delay_hours,unplanned_leave_days,days_remaining,milestone_slippage_days,client_priority,delivery_risk
P199,5,14,9,1.2,29,59,1.8,10.6,1,3,7,2,14.0,77.4,0,9.1,10.0,0.81,5.3,1,44,5,1,0
P459,12,14,5,5.4,47,56,-25.6,33.9,3,2,9,1,6.9,80.9,1,10.7,3.1,0.4,10.6,2,53,3,5,0
P251,6,14,6,7.7,63,63,-36.4,23.0,1,2,6,3,13.1,63.0,3,9.8,14.7,0.43,6.5,1,32,7,3,1
P230,11,7,13,2.6,37,28,-24.5,32.0,0,1,9,3,29.7,80.0,2,9.4,6.8,0.19,1.7,2,53,7,5,0
P249,4,21,9,6.4,21,48,-26.4,26.4,2,2,7,5,40.0,54.4,0,10.2,9.0,0.72,6.7,2,31,6,4,0
P408,5,14,7,3.1,33,74,-34.4,22.6,2,1,4,5,16.6,63.7,1,7.1,10.0,0.12,7.4,3,79,5,2,0
P357,7,21,10,6.0,63,69,-13.3,27.3,0,1,5,1,23.0,59.0,2,7.4,12.5,0.25,1.6,0,49,3,5,0
P443,9,7,9,5.9,39,42,-22.7,21.2,1,0,7,3,37.8,80.7,0,10.5,9.1,0.67,3.1,1,64,2,3,0
P393,10,10,9,2.3,75,41,15.5,15.5,1,2,10,7,10.0,94.7,2,7.7,5.3,0.25,3.9,3,28,5,5,1
P485,11,10,6,5.2,75,45,-15.8,23.1,2,4,6,2,17.0,66.6,2,11.0,14.7,0.22,5.5,1,5,4,4,0
P291,13,14,14,7.0,75,33,12.6,0.3,1,1,8,3,42.3,78.4,2,10.8,11.9,0.64,10.1,0,75,7,4,1
P376,6,7,11,3.7,59,52,-21.6,12.1,3,1,3,2,26.1,61.7,4,8.2,9.3,0.12,6.3,0,55,6,4,0
P260,14,10,12,6.0,42,55,9.9,32.8,0,2,6,1,41.6,75.9,0,8.4,6.8,0.26,8.1,3,76,7,2,0
P413,6,7,9,5.7,73,56,-12.7,26.4,0,1,8,2,44.0,89.7,3,8.1,4.2,0.29,4.0,1,22,3,3,0
P121,8,7,5,2.8,79,23,-38.1,31.7,5,2,4,4,36.0,51.0,1,10.4,12.1,0.87,2.9,0,40,4,2,1
P352,11,14,4,7.4,26,54,-10.8,33.5,3,5,5,1,41.7,54.6,0,8.8,4.2,0.82,4.9,0,29,4,5,0
P335,4,14,6,4.9,64,61,-26.4,16.4,2,2,5,3,6.1,60.7,0,9.7,12.5,0.26,2.9,2,55,4,4,0
P444,3,7,6,3.5,66,59,-21.6,-1.2,5,0,8,1,42.5,53.7,1,10.6,12.7,0.68,4.9,0,50,2,5,0
P148,14,7,11,2.2,33,74,1.1,23.3,5,1,11,3,25.6,53.2,2,9.0,13.3,0.57,9.8,0,24,6,2,0
P158,7,14,8,4.3,56,73,-8.2,-9.7,1,1,12,1,8.6,85.5,1,7.2,6.0,0.65,5.8,2,84,3,2,0
P269,5,7,4,6.1,27,32,13.3,-6.0,1,1,8,3,29.6,68.5,1,7.9,9.6,0.87,6.8,1,35,3,2,0
P287,2,14,14,5.4,69,68,16.2,2.9,3,3,7,5,36.2,77.6,0,7.4,10.7,0.36,3.7,0,6,1,3,0
P370,2,21,7,6.1,24,63,1.5,-9.3,1,2,11,1,7.3,58.1,3,8.5,9.1,0.22,4.8,0,60,4,4,0
P289,11,7,10,6.5,42,35,11.8,20.8,2,2,7,4,41.3,50.4,0,10.4,6.2,0.82,1.7,1,48,6,3,0
P274,6,14,8,4.1,60,53,-28.3,26.7,2,1,6,5,28.4,66.1,2,8.8,6.3,0.41,7.0,0,18,3,2,0
P150,8,7,13,4.6,29,22,-35.2,23.9,0,3,11,3,31.0,83.2,0,7.7,5.0,0.4,4.5,1,14,2,4,1
P463,1,14,9,7.9,68,63,-20.0,-3.5,2,2,6,3,30.1,50.6,3,9.6,3.3,0.49,7.9,2,55,2,2,0
P154,11,7,13,7.8,46,49,-20.5,26.2,1,3,6,2,30.0,64.4,0,9.5,14.5,0.84,11.7,3,33,4,5,0
P343,6,10,7,3.9,76,13,-0.1,27.3,5,2,7,6,9.7,55.4,0,8.6,12.3,0.65,11.3,0,30,2,3,1
P419,12,10,5,5.8,54,62,10.4,-5.7,1,4,9,2,22.7,56.2,1,8.6,11.0,0.37,5.1,1,18,4,3,0
P230,2,7,12,2.9,20,10,-22.2,12.2,5,0,6,2,17.4,88.7,1,10.2,5.1,0.75,9.9,1,45,4,5,1
P406,2,10,5,2.1,26,15,-14.5,21.0,2,0,8,5,42.0,84.8,0,8.5,11.0,0.24,8.0,1,57,8,3,0
P234,7,7,5,6.4,66,64,-33.7,8.3,1,1,10,5,23.1,75.5,0,8.3,11.5,0.65,4.7,0,53,2,1,1
P120,10,7,5,4.1,70,27,-15.2,30.0,0,0,6,6,12.1,91.7,2,9.1,10.9,0.67,4.2,3,22,5,3,1
P428,1,21,4,2.2,27,38,-27.1,13.8,2,1,6,2,5.9,51.2,1,10.1,7.8,0.36,10.1,1,7,3,3,0
P266,6,21,6,6.3,30,62,-17.1,-4.5,0,2,5,4,38.9,72.0,0,8.0,4.1,0.47,1.6,1,18,4,4,0
P373,14,10,9,7.4,53,42,-24.0,13.9,4,1,9,2,34.6,50.2,0,7.3,10.0,0.27,10.7,0,83,2,4,0
P487,7,21,10,7.5,71,12,8.5,16.0,4,2,8,3,26.8,88.8,0,7.6,14.0,0.31,6.8,0,31,4,1,1
P188,14,21,4,5.2,47,29,-39.8,32.9,1,0,6,1,33.2,64.3,0,7.2,6.3,0.17,7.0,0,88,3,4,1
P415,8,7,8,4.4,53,13,-19.7,9.0,0,3,10,3,44.3,54.1,1,9.1,12.6,0.45,9.1,0,68,2,3,1
P113,7,14,8,2.0,62,17,18.2,30.2,4,0,12,3,32.6,76.5,1,10.6,7.9,0.9,11.9,2,48,9,2,1
P341,6,7,4,6.5,39,37,0.7,4.4,5,3,8,1,33.6,75.1,1,9.0,4.2,0.76,6.2,2,52,7,3,0
P364,9,21,7,7.6,47,35,6.3,10.4,2,1,10,0,24.9,60.6,0,8.9,11.6,0.42,6.7,1,7,2,5,0
P445,13,7,13,7.2,68,43,11.6,20.4,3,0,10,4,5.6,59.2,1,9.9,13.1,0.27,6.5,1,15,4,3,0
P152,3,10,4,6.3,61,58,-18.3,29.8,3,1,6,4,40.5,66.1,1,10.5,8.9,0.63,8.4,1,45,4,4,0
P485,11,14,4,1.0,56,58,-36.0,24.8,4,1,4,3,29.4,61.7,0,7.1,6.0,0.61,5.6,0,60,4,3,1
P439,6,21,10,3.9,22,36,-15.4,-3.0,3,1,7,1,37.8,69.0,0,7.0,8.3,0.55,6.3,2,51,4,1,0
P191,4,21,10,3.9,28,74,-0.8,-1.3,3,3,5,0,30.8,58.6,0,7.2,13.6,0.74,9.8,0,81,6,4,0
P466,2,7,6,7.3,71,42,-17.8,-6.9,1,1,6,0,44.7,80.1,1,9.2,3.4,0.46,1.4,1,41,1,1,0
P363,1,7,10,1.5,41,58,-13.1,18.0,2,3,5,1,29.4,57.4,0,9.6,8.6,0.77,4.7,1,9,4,5,0
P134,12,7,6,4.7,44,72,9.5,9.8,1,1,9,3,31.0,83.8,2,10.1,3.8,0.67,7.4,2,45,4,2,0
P305,12,7,5,2.0,21,41,-37.8,29.4,0,1,5,0,24.7,85.6,1,7.6,9.0,0.64,10.3,0,17,2,3,0
P180,14,21,13,5.6,42,28,-19.9,34.5,2,4,10,3,41.3,62.5,0,7.6,14.8,0.44,2.5,1,83,3,2,0
P149,1,7,7,6.5,70,59,-10.7,29.5,4,0,6,2,8.1,83.0,0,8.3,5.9,0.19,10.8,1,61,2,3,0
P459,11,21,13,5.5,36,31,-22.0,-7.9,5,0,6,4,5.2,87.0,0,8.0,14.4,0.38,6.8,0,24,2,3,0
P487,10,7,6,6.6,76,18,-13.3,32.5,0,5,3,4,15.5,63.0,0,8.7,10.7,0.44,7.2,2,64,5,1,1
P101,3,14,10,5.3,44,44,-15.9,-5.4,4,1,11,5,29.2,65.6,1,10.4,3.2,0.55,6.5,0,9,7,5,0
P489,4,14,4,2.3,31,13,15.4,10.1,4,1,9,0,35.9,55.9,0,9.1,8.0,0.71,5.5,1,89,7,3,1
P153,2,7,9,3.7,46,46,-10.4,3.4,0,3,9,4,37.2,79.1,2,9.5,5.6,0.46,4.5,1,27,4,5,0
P205,13,7,5,7.7,39,37,-11.4,-3.0,1,0,5,3,22.9,78.6,2,7.5,5.3,0.21,11.1,0,36,6,5,0
P359,12,10,11,3.0,28,18,-24.7,-2.3,1,2,7,6,6.4,79.3,0,8.4,9.3,0.27,11.5,0,87,4,2,0
P409,11,14,8,1.4,42,44,-37.2,5.6,1,2,10,3,31.5,94.6,0,7.0,5.6,0.63,9.2,3,54,1,5,1
P290,11,21,6,3.7,55,34,-22.0,-8.9,1,3,8,7,24.6,70.5,2,10.6,6.9,0.22,7.8,1,23,1,4,0
P317,14,14,13,3.6,47,18,-38.4,-7.1,1,2,9,1,38.9,78.7,1,9.9,11.4,0.19,4.6,2,7,3,2,1
P143,11,21,10,4.3,69,70,9.6,22.1,4,5,6,4,13.7,84.6,1,9.7,7.2,0.6,1.1,0,8,5,4,0
P261,1,7,14,4.9,67,61,-27.7,18.2,0,0,4,3,36.4,55.6,5,9.8,14.0,0.83,7.0,2,22,2,1,1
P301,4,14,5,7.9,48,26,14.7,-5.5,1,1,6,2,35.8,65.1,1,8.2,10.7,0.9,1.0,1,22,4,1,1
P369,7,14,8,6.3,72,18,13.2,9.5,2,1,6,1,34.0,73.2,0,7.1,4.8,0.49,8.5,3,52,5,2,1
P450,10,10,14,1.3,75,63,-0.1,17.3,3,1,8,1,27.5,85.7,2,8.8,7.0,0.81,10.2,1,63,5,2,0
P403,11,10,11,6.0,61,14,11.8,-5.6,0,2,10,0,22.6,58.6,1,10.3,15.0,0.31,7.2,1,69,4,2,1
P370,6,14,14,6.8,77,72,12.7,33.7,3,0,8,2,17.6,76.3,1,10.1,7.0,0.13,1.4,0,11,7,1,0
P314,6,14,4,7.3,73,56,6.6,28.2,3,2,6,4,10.9,54.7,1,7.8,10.1,0.65,9.1,1,87,2,3,0
P351,11,14,4,4.0,51,28,-9.5,0.2,4,0,11,2,11.0,68.1,2,9.2,4.2,0.7,11.1,0,10,4,2,1
P289,9,21,6,3.2,31,54,17.0,13.3,3,0,10,4,33.8,54.6,3,8.7,10.9,0.44,4.2,0,46,6,1,0
P395,14,7,6,6.9,49,42,9.1,12.8,2,0,7,2,10.9,77.0,2,10.3,6.9,0.42,7.7,1,35,3,5,0
P312,2,10,10,6.4,79,52,-32.4,5.0,2,2,5,4,36.3,73.9,0,7.0,7.6,0.68,8.2,1,14,5,1,1
P307,4,7,9,4.8,30,35,-14.8,24.2,2,2,7,3,42.1,51.3,0,7.1,9.9,0.89,9.3,2,40,5,1,0
P336,5,10,10,1.8,56,54,-7.6,19.6,3,1,13,5,24.9,75.8,1,10.5,7.2,0.8,6.5,3,85,3,4,0
P437,1,10,7,5.6,39,44,-8.2,28.9,2,1,6,5,36.1,90.1,1,10.1,4.0,0.47,9.8,4,50,5,4,0
P466,8,10,14,1.5,30,62,-17.2,-9.8,1,3,8,2,27.0,76.5,1,7.6,5.8,0.27,11.1,0,74,5,2,0
P152,8,14,5,1.7,67,19,-8.1,17.2,4,3,9,4,39.4,82.6,0,9.6,11.6,0.38,2.4,0,40,2,3,1
P379,6,10,5,3.3,66,50,-34.4,34.7,2,1,8,2,10.2,58.8,0,7.3,5.1,0.68,2.3,0,70,4,1,1
P316,12,7,13,3.6,57,26,-0.7,25.5,5,2,3,3,18.5,72.7,2,8.8,7.3,0.81,11.5,0,59,1,2,0
P351,5,10,4,4.2,64,20,-10.1,5.5,3,2,13,1,19.3,60.2,1,8.7,4.6,0.61,2.7,0,14,6,4,1
P287,8,7,12,3.4,35,72,7.3,-3.0,2,3,1,4,33.0,60.7,0,10.9,5.8,0.37,4.2,3,44,3,2,0
P479,3,10,10,1.2,78,55,1.6,9.3,4,1,5,3,14.4,71.7,2,9.0,4.0,0.26,6.8,1,30,5,2,0
P140,3,10,13,2.1,54,29,-33.2,9.1,3,1,5,4,37.9,79.7,2,8.2,7.7,0.68,11.2,1,85,5,3,1
P256,2,14,6,1.8,69,22,-19.0,16.3,2,2,10,4,29.5,62.4,2,8.9,15.0,0.56,5.2,0,65,5,4,1
P114,5,7,5,4.0,20,26,4.2,-7.0,1,1,6,2,13.8,59.6,0,10.4,4.1,0.46,5.1,1,89,4,1,0
P400,3,10,6,2.5,44,41,-19.8,7.4,2,0,8,3,14.8,68.0,0,9.8,9.5,0.73,9.8,1,25,2,2,0
P164,3,10,10,3.1,68,25,-6.0,28.5,0,1,9,3,32.4,75.1,0,8.6,9.0,0.28,4.4,0,39,4,5,0
P444,6,7,8,4.3,46,32,17.7,19.0,2,3,8,3,23.8,88.2,1,7.3,4.5,0.1,9.5,2,82,2,5,0
P426,8,10,6,2.6,71,20,-35.2,9.6,1,0,12,3,13.7,78.8,0,9.7,11.2,0.42,9.7,2,57,3,1,1
P108,2,21,12,2.7,51,23,-28.6,4.0,0,1,7,1,40.6,85.5,0,7.7,7.0,0.31,9.8,1,22,7,3,1
P443,4,14,5,6.8,25,54,-11.2,2.6,0,6,11,3,16.8,57.2,1,8.5,11.3,0.42,3.2,1,75,3,4,0
P228,11,7,10,4.8,60,42,4.3,23.7,0,1,6,3,37.3,81.6,0,8.7,6.9,0.9,4.7,0,71,5,2,0
P235,7,14,13,7.0,55,54,-20.2,9.3,3,0,9,3,33.7,83.3,0,10.3,11.1,0.23,1.3,0,8,4,2,0
P162,1,21,9,4.6,58,63,-33.0,1.1,2,1,6,1,10.2,79.1,1,10.3,6.9,0.2,8.7,1,20,2,2,0
P238,1,21,9,7.4,42,60,-21.1,26.6,2,0,5,2,44.1,60.5,1,9.4,13.0,0.11,11.7,2,20,7,3,0
P180,12,21,10,2.8,48,32,-1.3,2.0,3,4,7,2,23.3,54.3,2,9.1,3.4,0.74,10.3,3,69,2,2,0
P491,13,7,9,5.3,49,38,7.6,-7.1,1,3,10,4,42.3,50.1,0,9.1,3.4,0.52,10.7,1,38,5,5,0
P262,10,21,5,4.5,41,15,18.6,14.7,0,2,5,2,13.4,90.9,0,11.0,4.9,0.44,11.5,1,49,5,1,1
P388,7,7,14,7.4,76,48,5.7,2.6,2,1,11,1,33.8,93.5,3,7.7,3.9,0.39,5.6,3,88,2,5,0
P478,14,7,8,3.9,30,14,-10.5,-9.8,0,2,6,3,29.5,89.4,4,7.9,13.7,0.34,4.8,1,89,5,4,0
P360,7,10,6,7.0,45,49,-22.4,12.6,1,2,6,2,32.3,50.4,1,9.5,12.2,0.36,5.2,1,57,2,2,0
P330,1,7,12,4.9,42,30,15.7,30.3,2,1,8,4,40.9,81.1,0,8.4,9.2,0.7,8.0,1,85,8,2,1
P140,1,21,11,6.0,22,68,-7.9,19.0,1,0,1,4,25.0,66.8,0,8.6,5.1,0.33,2.5,1,45,9,5,0
P127,4,7,13,7.2,67,29,1.3,-9.2,2,3,8,1,13.6,93.4,1,7.3,4.8,0.69,6.6,1,68,7,5,1
P234,5,7,14,8.0,25,33,-11.7,7.0,1,2,13,5,18.7,77.8,0,8.7,3.4,0.79,6.1,1,82,3,2,0
P300,5,14,5,6.1,26,12,-25.5,1.1,2,3,9,4,29.9,74.0,1,7.5,4.7,0.88,11.4,0,40,4,5,1
P427,4,21,4,3.2,63,66,-7.2,20.2,3,1,6,8,10.2,63.7,1,7.8,10.7,0.44,4.6,1,38,4,1,0
P367,8,7,7,3.1,58,72,10.4,10.6,3,0,8,2,5.4,93.6,0,10.0,10.1,0.77,7.2,2,29,3,3,0
P132,7,10,7,3.2,73,56,-17.0,-2.2,1,3,8,3,30.6,88.6,2,10.5,6.4,0.44,3.9,0,15,8,1,1
P147,9,7,13,1.7,70,28,0.1,10.5,0,2,7,2,21.3,85.7,1,9.9,10.6,0.86,10.2,0,83,6,2,1
P161,7,7,14,1.4,41,22,-37.5,31.9,0,3,13,0,11.9,84.7,0,7.2,10.0,0.67,10.6,1,10,6,1,1
P315,10,14,5,5.1,67,54,16.2,8.5,3,1,10,3,8.2,65.2,0,10.7,11.4,0.65,2.9,1,81,0,3,0
P392,1,21,10,6.7,69,41,18.2,29.2,1,0,8,3,31.6,92.3,0,8.0,3.8,0.3,4.5,1,76,6,4,1
P198,13,21,6,1.3,61,39,-16.8,11.4,3,4,4,0,41.6,70.8,1,9.9,11.9,0.61,6.9,0,84,2,2,0
P271,14,10,10,5.0,52,51,-10.1,24.1,2,0,7,1,16.2,56.7,1,7.8,14.0,0.7,6.3,0,37,4,1,0
P459,7,10,10,3.6,59,51,-30.4,25.4,2,1,10,0,22.3,58.4,1,7.2,5.9,0.57,9.6,2,11,3,4,1
P313,1,10,4,7.2,22,16,-28.2,24.2,3,3,10,2,26.5,70.1,0,7.3,8.4,0.15,4.8,1,76,7,2,0
P134,7,7,9,2.0,49,12,-3.9,18.7,2,1,10,2,7.6,88.5,1,8.6,8.7,0.88,2.7,1,16,5,4,1
P326,10,7,7,4.9,67,46,-2.4,32.9,5,1,5,3,16.9,75.2,1,9.6,6.5,0.6,6.7,0,38,5,4,0
P200,8,10,14,7.8,43,12,-19.5,31.8,4,2,9,2,31.3,50.5,0,10.2,8.6,0.3,6.3,0,63,8,4,1
P230,11,21,11,3.4,22,27,-17.6,3.6,4,0,11,2,18.7,53.6,1,7.8,4.0,0.69,2.4,1,23,7,1,0
P356,9,21,11,6.2,21,51,-9.6,21.3,0,4,11,5,19.7,72.3,2,9.3,3.5,0.51,11.9,1,30,4,4,0
P104,12,10,6,7.2,63,18,16.4,19.9,1,3,11,4,14.8,56.5,2,7.4,6.3,0.42,6.4,0,18,3,1,1
P317,3,14,7,2.3,59,66,-31.0,-1.0,3,6,12,2,19.7,61.2,3,8.9,4.9,0.79,5.7,0,53,9,3,1
P354,4,21,4,7.9,38,33,-6.9,1.9,1,3,8,0,42.3,70.5,0,9.9,12.9,0.11,9.5,1,70,6,2,0
P497,4,21,13,6.7,43,16,-36.5,4.0,2,1,8,3,29.1,53.1,1,10.3,13.5,0.33,4.5,3,32,1,5,1
P458,12,10,5,2.0,69,51,-12.5,4.9,2,1,7,2,44.5,81.9,0,8.0,10.5,0.22,1.7,1,86,10,2,0
P382,9,21,10,3.2,39,67,-16.2,28.4,1,2,6,3,29.0,67.2,3,10.6,12.0,0.28,8.2,0,36,5,3,0
P492,13,7,14,5.4,76,65,-30.1,24.1,4,1,10,2,7.1,93.5,0,7.2,7.3,0.57,4.3,0,76,4,4,1
P306,7,7,10,7.2,66,67,-30.2,26.3,0,0,8,5,14.6,79.3,0,9.3,11.8,0.8,5.9,1,42,4,5,1
P114,3,21,12,2.4,68,27,-13.0,31.1,3,2,5,5,24.8,62.7,3,7.9,10.0,0.58,2.8,0,64,5,1,1
P445,10,7,13,6.1,69,48,-32.4,13.1,0,3,9,4,5.4,81.4,2,10.4,7.1,0.11,2.3,2,60,1,3,1
P141,5,14,12,2.9,50,59,-22.3,27.6,0,1,6,1,38.3,92.5,1,9.1,4.0,0.75,1.7,2,33,3,5,0
P479,7,21,12,6.6,69,42,-35.7,21.3,1,2,6,4,31.9,50.3,2,9.1,11.7,0.75,3.4,0,5,3,4,1
P278,8,10,9,5.8,60,37,-22.2,10.9,3,0,4,4,23.8,70.3,0,8.5,3.7,0.68,8.4,1,14,6,2,1
P162,1,7,11,4.7,77,65,-8.0,-1.3,6,1,5,3,32.1,78.0,2,9.0,5.9,0.68,1.4,3,36,3,2,0
P451,12,14,12,5.5,50,34,4.6,9.4,2,0,8,1,38.2,91.3,0,9.3,12.1,0.28,5.1,0,46,6,5,0
P330,2,14,10,7.1,56,23,9.8,-0.7,0,0,7,2,15.2,50.6,3,8.2,10.3,0.51,4.7,1,9,3,2,0
P340,7,7,7,3.7,62,64,-19.7,2.9,1,0,5,3,20.1,57.9,0,10.1,5.7,0.42,6.8,2,54,6,1,0
P151,11,14,7,6.4,48,16,16.3,2.8,1,2,8,2,26.1,77.3,0,7.5,12.4,0.86,6.4,0,47,3,2,1
P195,13,21,9,2.1,23,13,-25.6,24.2,2,2,9,3,36.7,55.5,3,9.0,8.9,0.43,2.4,0,82,4,4,1
P487,14,14,14,5.9,77,39,-35.2,12.9,2,1,5,1,43.7,84.6,0,7.1,3.6,0.44,5.4,0,65,6,3,1
P321,13,7,7,6.3,29,71,15.5,25.7,2,2,4,5,36.7,74.1,1,8.4,4.5,0.33,1.6,0,80,4,4,0
P330,2,14,14,4.1,55,66,-7.6,29.5,1,0,10,6,17.7,91.1,1,7.1,9.0,0.73,11.8,1,61,2,4,0
P336,7,7,10,6.6,74,46,-18.9,17.5,1,1,9,3,14.2,70.7,0,10.1,5.5,0.19,9.9,1,37,2,2,0
P242,9,7,11,4.9,54,64,13.9,8.3,1,1,6,3,28.6,83.3,2,8.8,11.0,0.38,1.5,0,52,6,2,0
P270,11,14,11,7.6,76,74,6.5,28.6,3,2,8,2,15.1,60.3,0,7.9,14.4,0.25,11.0,0,53,10,1,0
P128,2,7,11,1.8,67,61,9.9,15.5,3,0,7,4,32.1,70.7,0,10.1,13.3,0.29,6.7,1,61,2,2,0
P135,7,7,5,1.9,40,12,-22.5,28.6,1,2,6,2,13.8,72.9,2,10.9,15.0,0.19,1.9,0,6,7,3,1
P112,4,10,13,6.9,62,16,12.4,1.9,1,1,6,1,33.9,54.7,2,9.3,10.3,0.78,1.5,0,38,4,4,1
P259,11,21,5,6.9,60,43,-1.0,15.5,2,1,11,1,20.7,89.2,8,9.1,6.0,0.63,9.8,0,23,4,5,0
P426,13,7,5,4.3,20,25,4.3,-0.5,4,2,11,1,21.1,93.6,1,7.5,11.2,0.28,6.0,1,55,8,5,0
P286,2,21,5,7.7,61,17,-21.3,21.4,3,1,13,5,27.1,63.4,1,7.4,14.8,0.18,3.9,3,36,3,3,1
P342,13,10,7,5.8,31,30,-25.3,16.4,1,2,12,2,17.9,79.6,0,7.7,3.4,0.59,11.7,2,20,0,3,0
P185,7,10,8,7.9,43,20,-15.5,15.0,1,2,7,3,6.6,67.0,3,9.4,3.4,0.5,8.6,0,18,3,5,0
P383,13,10,7,4.7,21,59,-5.5,18.8,2,1,4,3,15.9,81.6,0,8.3,6.4,0.37,1.2,1,47,3,3,0
P165,5,10,8,2.4,66,15,-0.0,6.9,0,2,10,4,11.5,87.3,0,8.5,3.2,0.7,5.5,0,38,3,1,1
P269,1,21,7,4.1,75,24,-10.1,-1.4,6,0,9,1,12.7,75.0,4,9.6,11.0,0.33,3.7,0,44,3,3,1
P144,5,14,10,7.9,39,20,1.9,26.3,2,3,11,2,43.8,53.9,0,7.9,4.4,0.6,2.8,2,55,5,2,0
P161,12,14,13,3.6,35,36,2.5,7.3,2,2,4,1,44.7,66.5,1,8.0,12.0,0.19,7.6,1,65,4,4,0
P233,12,21,4,7.7,53,54,-0.0,34.5,1,3,10,5,11.0,59.4,0,10.0,12.6,0.33,5.0,2,46,2,1,0
P383,3,7,4,6.6,32,47,-24.9,11.6,3,2,6,2,14.7,83.0,1,10.1,4.9,0.72,10.0,1,52,5,2,0
P127,7,21,5,4.1,37,13,-13.2,12.1,4,3,8,4,33.7,85.4,0,8.4,5.4,0.8,5.7,3,29,5,2,1
P207,6,7,4,4.8,48,54,5.9,20.5,1,0,7,1,9.1,72.6,0,7.4,4.3,0.17,9.8,1,35,7,3,0
P143,8,7,13,5.3,73,19,13.2,20.0,4,1,12,3,25.3,71.8,1,7.7,13.9,0.46,9.5,0,87,1,2,1
P439,13,14,13,5.7,70,63,-9.9,-1.9,3,2,8,5,38.1,92.3,0,7.2,3.6,0.82,5.4,2,42,6,1,0
P385,5,10,14,1.5,62,38,19.2,2.3,1,0,6,0,20.8,77.8,2,9.0,7.8,0.77,11.5,1,17,5,5,1
P430,2,14,6,7.5,33,21,-29.5,0.4,1,1,6,4,29.2,68.5,3,7.5,10.0,0.9,11.3,2,16,5,1,1
P227,9,14,9,5.2,49,65,-26.5,-7.6,0,1,7,3,17.6,70.8,1,10.7,13.0,0.11,6.5,2,76,5,5,0
P447,14,21,13,7.5,77,49,-12.4,-9.0,2,2,6,1,28.1,69.6,0,8.0,5.9,0.52,10.1,3,49,2,5,0
P330,11,21,14,5.4,54,46,-9.5,19.0,3,3,4,5,13.3,88.4,1,7.4,6.5,0.77,4.2,1,17,3,3,0
P289,8,7,9,4.0,28,29,-14.5,12.4,0,1,8,4,37.5,56.7,1,9.8,9.0,0.1,7.9,1,8,4,3,0
P324,6,21,4,5.0,56,21,-14.2,30.3,0,2,6,2,36.4,75.6,4,10.0,4.1,0.88,6.6,0,88,2,2,1
P484,13,7,9,6.8,65,47,-10.8,3.5,2,1,6,6,29.3,54.9,2,7.9,6.7,0.27,5.8,0,50,4,3,0
P476,10,7,8,3.3,58,39,-20.8,25.4,1,0,8,2,40.0,91.9,2,9.1,7.2,0.65,9.0,0,32,3,5,1
P382,7,10,10,7.7,31,56,-32.1,-5.4,3,0,6,2,40.7,56.3,0,10.7,8.0,0.58,1.3,1,81,4,2,0
P220,9,10,9,4.3,40,51,17.4,26.7,6,1,11,4,39.2,53.6,2,8.8,14.6,0.28,9.0,0,75,2,4,0
P215,7,14,10,7.7,37,14,7.7,31.5,3,2,6,4,34.9,56.7,0,10.0,13.4,0.61,8.1,1,50,3,5,0
